Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
JPN,39,392,392,Japan,0,426278,78.6,339.4,7.7
BEN,39,204,204,Benin,0,5069,71.6,39.7,7.7
VUT,39,548,548,Vanuatu,0,151,67.8,46.9,7.7
PAK,39,586,586,Pakistan,0,118631,69.8,51.7,7.6
DJI,39,262,262,Djibouti,0,572,66.7,56.3,7.6
KOR,39,410,410,"Korea, Republic of",0,97615,77.0,190.2,7.5
CRI,39,188,188,Costa Rica,0,6072,75.3,117.2,7.5
SLB,39,090,90,Solomon Islands,0,365,74.6,50.6,7.5
GTM,39,320,320,Guatemala,0,10369,71.1,55.8,7.5
GUY,39,328,328,Guyana,0,612,70.2,77.1,7.4
GAB,39,266,266,Gabon,0,1094,69.5,46.9,7.4
ECU,39,218,218,Ecuador,0,16158,76.0,89.2,7.3
OMN,39,512,512,Oman,0,2261,66.3,42.5,7.3
IND,39,356,356,India,0,916827,64.4,65.2,7.2
MUS,39,480,480,Mauritius,0,1469,66.6,115.2,7.1
BWA,39,072,72,Botswana,0,1277,66.1,52.3,7.1
NER,39,562,562,Niger,0,8806,66.1,33.8,6.9
PAN,39,591,591,Panama,0,3770,65.7,84.8,6.9
TJK,39,762,762,Tajikistan,0,4225,63.9,42.4,6.7
YEM,39,887,887,Yemen,0,11854,63.7,38.1,6.7
MEX,39,484,484,Mexico,0,96210,63.5,73.1,6.7
SDN,39,729,729,Sudan,0,18504,64.4,40.2,6.6
LKA,39,144,144,Sri Lanka,0,19145,59.0,88.7,6.6
RWA,39,646,646,Rwanda,0,4887,59.4,35.9,6.5
GMB,39,270,270,The Republic of the Gambia,0,899,62.7,35.1,6.4
CPV,39,132,132,Cape Verde,0,285,58.3,50.2,6.4
SLV,39,222,222,El Salvador,0,5292,64.7,80.8,6.3
MDV,39,462,462,Maldives,0,241,58.8,44.6,6.3
TLS,39,626,626,Timor-Leste,0,517,55.4,37.8,6.2
KWT,39,414,414,Kuwait,0,1968,60.2,44.9,6.1
BLZ,39,084,84,Belize,0,211,59.9,51.2,6.1
NPL,39,524,524,Nepal,0,14704,55.3,48.7,6.1
COG,39,178,178,"Congo, Republic of",0,1732,52.9,29.9,5.7
BHR,39,048,48,Bahrain,0,607,58.6,34.0,5.6
ARE,39,784,784,United Arab Emirates,0,2283,54.4,22.6,5.6
QAT,39,634,634,Qatar,0,782,46.2,26.2,5.0
SAU,39,682,682,Saudi Arabia,0,13399,46.2,37.4,4.9
SLE,39,694,694,Sierra Leone,0,1334,25.5,16.1,2.9
,,,,Total,,9739428,91.7,123.6,9.6
